experiment,Paramecium,start_time,end_time,move_time
1,1,13,68,55
1,2,6,61,55
1,3,8,62,54
1,4,9,67,58
1,5,19,71,52
1,6,4,71,67
1,7,7,65,58
1,8,14,69,55
1,9,19,71,52
1,10,13,70,57
