experiment,Paramecium,start_time,end_time,move_time
1,1,13,69,56
1,2,2,63,61
1,3,7,62,55
1,4,9,67,58
1,5,19,71,52
1,6,4,71,67
1,7,7,65,58
1,8,13,70,57
1,9,18,71,53
1,10,12,71,59
