experiment,Paramecium,start_time,end_time,move_time
1,1,16,48,32
1,2,7,43,36
1,3,9,46,37
1,4,14,47,33
1,5,18,59,41
1,6,25,60,35
1,7,13,43,30
1,8,17,49,32
1,9,18,57,39
1,10,16,52,36
