cell,index,time
1,1,8
1,2,11
1,3,5
1,4,7
1,5,6
1,6,5
1,7,9
1,8,14
1,9,12
1,10,17
1,11,16
1,12,19
1,13,13
1,14,10
1,15,11
1,16,18
1,17,19
1,18,29
2,1,7
2,2,5
2,3,9
2,4,24
2,5,27
2,6,30
2,7,40
2,8,10
2,9,14
2,10,5
2,11,9
3,1,4
3,2,9
3,3,3
3,4,6
3,5,9
3,6,7
3,7,11
3,8,4
3,9,4
3,10,22
3,11,20
3,12,15
3,13,12
4,1,3
4,2,8
4,3,5
4,4,8
4,5,4
4,6,14
4,7,17
4,8,14
4,9,7
4,10,19
4,11,24
5,1,9
5,2,13
5,3,14
5,4,5
5,5,17
5,6,22
5,7,13
5,8,25
5,9,16
5,10,15
5,11,26
5,12,20
5,13,9
5,14,1
6,1,1
6,2,6
6,3,12
6,4,6
6,5,7
6,6,11
6,7,11
6,8,30
6,9,10
6,10,11
6,11,18
6,12,39
6,13,14
6,14,35
6,15,26
6,16,21
6,17,12
7,1,5
7,2,8
7,3,8
7,4,19
7,5,7
7,6,18
7,7,2
7,8,7
7,9,6
7,10,19
7,11,6
7,12,20
7,13,10
7,14,15
8,1,6
8,2,8
8,3,7
8,4,21
8,5,7
8,6,7
8,7,7
8,8,33
8,9,6
8,10,7
8,11,17
8,12,16
8,13,21
9,1,5
9,2,4
9,3,10
9,4,13
9,5,10
9,6,6
9,7,10
9,8,13
9,9,26
9,10,18
9,11,13
9,12,10
9,13,17
9,14,19
9,15,11
9,16,14